ID,Question,DocContents,Chunk_ID,Missed_ID,Golden_ID
1,憑證別代號該如何輸入或下載？,"A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '4. 報銷流程', 'Header 3': '**憑證類別及代號查詢**'}
- 如不清楚憑證別如何輸入，可至公司知識庫中查詢「**報銷憑證類別圖示對
照**」。
- 憑證代號下載：[憑證代號下載
點](https://www.dropbox.com/scl/fi/nja7liklgqunive54a4bd/20190403.ppt?rlkey=ro
4lk4jrby5epv43xb829mtsr&st=h4l0r9cx&dl=0)。
- 知識庫連結：[知識庫在這裡](http://tpeisweb00/Search/Result)

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '交通費及計程車費報支規定', 'Header 3': '國內出差搭乘飛機的憑證要求：'}
- 必須附上起訖點及金額的飛機票根或電子機票及登機證。
- 外島機票去程的憑證別輸入5（內含稅），回程憑證別輸入8（免稅）。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '6. 審核', 'Header 3': '**查報銷單是否核銷**'}
- 要查詢出差報銷單是否已被會計核銷，請至OA 系統的**出差單作業**，選擇
查詢：
- **會計已核銷單據**
- **會計未核銷單據**
- [查詢連
結](https://www.dropbox.com/scl/fi/qrg53qheow62lt9w5q16k/.png?rlkey=6o61vx69
uvydbzma0yjis8y9m&st=4pq0u2om&dl=0)  
- 如需會計協查，請提供**報銷單號碼**及**部門代號**，以NOTE 信件寄送回
覆。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '4. 報銷流程', 'Header 3': '**無憑證報銷**'}
- 若憑證遺失，請聯繫原憑證開立單位，請求重新開立。
1. 若無法重新取得憑證，則只能依規章制度進行**無憑證報支**。
2. 無憑證交通費一律以**離廠區最近車站為起點**。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '2. 制度面', 'Header 3': '**報銷流程**'}
- 出差報銷應於銷差後一星期內填具**出差旅費報銷單**，並檢附相關報支憑
證。
- 報銷單無需附加出差單，除非成本負擔部門屬於其他部門，則該部門一級主
管需於出差單上核簽，認可該費用可歸屬於成本部門。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '4. 報銷流程', 'Header 3': '**有憑證報銷**'}
- **憑證別代號**的輸入是根據所持憑證的類別，發票及收據均為憑證。
- **憑證別**、**憑證代號**及**憑證類別**皆屬於憑證別代號，輸入方式如
下：  
---  
#### **憑證別代號範例**：
1. 統一發票三聯式，憑證別填**1**。
2. 電子發票（格式25），憑證別填**6**。
3. 收銀機統一發票(例如高鐵票或火車票)，憑證別填**5**。
4. 收據憑證，憑證別填**Y**。","65, 55, 78, 63, 9, 64",64,"64, 65"
2,我的高鐵票遺失，怎麼辦？,"A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '交通費和計程車費規範', 'Header 3': '**無憑證報支規範**'}
---  
- 高鐵票遺失者，請洽原單位補發或上網列印，如仍無法取得僅可以**無憑證
**報支。
- 搭乘**高鐵無憑證**者，依**標準車廂票價53 折**報支，四捨五入計算。
- 高鐵票遺失一律以離最近廠區的車站報支。(例如內湖大樓為南港車站)
- [點我進去高鐵網站](https://www.thsrc.com.tw/ArticleContent/743c51ac-124d-
4b1a-a57b-1fd820848032)。
- 搭乘**火車無憑證**者，依最高艙等**自強號票價**報支。
- [點我進去台鐵網站](https://www.railway.gov.tw/tra-tip-
web/tip/tip001/tip114/t_form/01)。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '離廠區最近的車站', 'Header 3': '**內湖大樓（台北廠區）**'}
- 最近的高鐵站：南港車站
- 最近的火車站：松山車站

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '出差核決權限', 'Header 3': '**報銷單核准權限**'}
- 經營主管(含)以上之報銷單，免呈主管核簽。
- 一級主管(含)以下之報銷單如有以下情形，需呈主管核簽。
1. 搭乘高鐵、火車或客運未檢附憑證者，須呈原出差單核簽主管核簽。
2. 報支未訂標準之計程車費，須以[短程出差車費報銷單]
(https://www.dropbox.com/scl/fi/cuyofcwijue5nabfa3t3d/.doc?rlkey=1i4t5d25hq7rv
qxo6nohekfnv&st=s112pl0n&dl=0)，或報銷單說明清楚各出差點及金額，但報支
往返住處到搭車點之計程車費不在此限。
3. 非單獨出差者，報支應共乘路段之計程車，須呈原出差單核簽主管核簽，
因特殊狀況而未共乘，應於報銷單上註明原因。
- 需要經營主管核簽的報銷單
1. 提早出差且搭乘高鐵前往。
2. 招待所未客滿，但因保密需要或任務需求，需外宿飯店。
3. 低階人員隨高階人員出差，搭乘的交通工具及住宿費用超過規定者。
3. 出差至麥寮廠區，未搭乘交通車而搭乘高鐵前往者。
4. 非標準計程車資，超過700 元以上。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '交通費及計程車費報支規定', 'Header 3': '計程車報支標準：'}
- 內湖大樓到**明志科技大學**受訓同仁，可報支585 元，如無任何憑證請以
無單據OA 傳簽報銷差旅費。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '交通費和計程車費規範', 'Header 3': '**出差至麥寮的規定**'}
1. 出差至麥寮應**以搭乘公司交通車為主**，如需從住宿處報支到交通車處的
計程車費，單筆計程車費金額**700 元（含）以下**，應由具主管職權之一級
主管（正主管）核准；單筆計程車費金額**700 元以上**，需再轉呈經營主管
一級核准。  
2. 出差至麥寮，若因任務需求需提前一天出發，需**說明原因**並呈經營主管
核准。  
3. 出差至麥寮若因交通車客滿，需提供客滿證明文件，方可改搭火車或高鐵前
往：
- 搭乘**高鐵**需經營主管核准。
- 搭乘**火車**則由一級主管核准。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '交通費及計程車費報支規定', 'Header 3': '交通費憑證規定：'}
1. 報銷交通費的憑證金額不得超過出差地點之費用。
- 舉例：若出差起訖點為**台北到嘉義**，則不可以**台北到高雄**之票價
全額報支，但可依對等票種艙等扣除嘉義到高雄段車資。
2. 若無憑證，報支高鐵票按標準車廂票價**53 折**報支，並以**離最近廠區的
車站**為起點。
- 說明欄位需註明：如「高鐵無憑證，南港到台中398 元(750*0.53)」。
- **建議：盡量取得憑證，以利公司做稅額扣抵。**
3. 火車票無憑證時，按所搭乘的車種最高座艙標準報支，即**自強號一般座票
價**。
- 說明欄位需註明：如「自強號無憑證，松山到嘉義613 元」。
- **建議：盡量取得憑證，以利公司做稅額扣抵。**

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '交通費及計程車費報支規定', 'Header 3': '無憑證報支交通費規定：'}
1. 需以**離廠區最近之車站**為起點，依照高鐵53 折或火車自強號票價報
支。
- 說明範例：「南港到台中無憑證398 元(750*0.53)」。
2. 出差至麥寮如因任務需求搭乘高鐵，需說明原因並呈經營主管核准。","33, 67, 11, 60, 36",54/57,33/54/57
3,住宿費是否可以透過Agoda進行訂房？,"A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '出差住宿規定', 'Header 3': '**海外訂房規定**'}
1. **海外訂房不被允許**：出差時應優先安排公司招待所住宿，若招待所客  
---  
滿，方可自由選擇特約旅館或其他旅館，並不得使用**海外訂房網站**（如
Agoda、Booking 等）進行訂房。
2. **海外電商**：若使用Agoda、Booking、Expedia、Hotels、Airbnb 等海外訂
房平台，因會對公司造成稅務損失，會計會將其退件處理。
3. **訂房正確做法**：應選擇到店付款方式，並取得列有公司統編的發票。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '2. 制度面', 'Header 3': '**出差定義**'}
- 出差相關制度請至企業知識庫搜尋「出差辦法」，並附上該辦法的直接連結，
以便員工快速查閱。[直接連
結]((https://www.dropbox.com/scl/fi/dayujdq4sp3v1iegdjxq1/P00011-
20240927.docx?rlkey=st2wliqh3r2ajt2ge5two754i&st=adhatt07&dl=0)。
- 出差辦法會根據時代變遷隨時進行調整，並透過公佈函通知，報銷原則以當
前「出差辦法」為準。
- **距離規定**：超過50 公里（含）以上者視為出差，未滿50 公里者則視為外
勤。若外勤需在外住宿，則視同出差。
- **例外**：外勤距離不足50 公里，但因住宿需求（如明志科技大學受訓）
可依出差方式處理。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '出差核決權限', 'Header 3': '**出差單核准權限規範**'}
- **經營主管出差**：需由公司執行副總經理核准。
- **執行副總經理及資深副總經理的出差**：需由公司總經理核准。
- **總經理的出差**：需由公司董事長核准。
- **董事長的出差**：需呈閱總裁核准。
- **子公司主管出差**：依南亞公司核定之職位辦理，並依上述核准原則進行。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '出差交通工具規定', 'Header 3': '**交通工具選擇**'}
- 出差原則上應搭乘**公司交通車**或**火車**等大眾交通工具。
- 若需自行開車使用私有車輛，需依「私車公用管理辦法」辦理，並於OA 系統
中以**私車公用**進行傳簽報銷。
- 報銷費用如無憑證，應透過無單據OA 報銷，並將「私車公用補貼單」一併附
上。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '住宿費規範', 'Header 3': '**廠區住宿費申請**'}
- 出差至廠區時，需先區分該廠區為**有招待所**或**無招待所**。
- 到有招待所的廠區時，**應優先安排住宿公司招待所**，若招待所客滿，方
可自由選擇特約旅館或其他旅館。","44, 2, 10, 41, 14",,44
4,出差旅費報銷單的填寫期限是多久？,"A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '2. 制度面', 'Header 3': '**報銷流程**'}
- 出差報銷應於銷差後一星期內填具**出差旅費報銷單**，並檢附相關報支憑
證。
- 報銷單無需附加出差單，除非成本負擔部門屬於其他部門，則該部門一級主
管需於出差單上核簽，認可該費用可歸屬於成本部門。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '2. 制度面', 'Header 3': '**旅費暫借**'}
- 若需向出納暫借旅費，應憑核准的「出差單」於出差前三天內向出納部門借  
---  
支。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '雜費報支規定及判斷標準'}
- **雜費**依出差的時長來計算，即從出差開始的時間計算至返差結束的時間。
- **範例**：若第一天出差時間為下午3 點到隔天中午12 點，雜費計算如下：
1. **第一天**：下午3 點到晚上12 點（15:00~24:00），滿8 小時計算。
2. **第二天**：午夜到中午12 點（00:00~12:00），也滿8 小時計算。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '2. 制度面', 'Header 3': '**緊急出差**'}
- 如因緊急事務無法事先申請出差，仍需先通知考勤部門，事後補辦出差單。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '膳費報支規範', 'Header 3': '**膳費報支判斷**'}
1. **按單據出差時間判斷**：
- 若車票無時間，則以**報銷單據的起訖時間**來判斷報支餐數。
- **範例**：若台北大樓人員的出差起點為08:30（含）以前，則可申請早
餐；出差結束時為17:30（含）以後，則可申請晚餐。  
2. **如車票有時間**：
- 若高鐵或火車票上有時間，則以**車票時間**判斷膳費餐數報支標準。
- **範例**：若車票顯示的發車時間在上班後1 小時內（如大樓8:30 上班，
車票9:30 前），則可申請早餐。若返差時間在下班前1 小時內（如大樓5:30 下
班，車票4:30 前），則可申請晚餐。","9, 7, 46, 6, 22",,9
5,出差可以申請的旅費項目有哪些?,"A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '2. 制度面', 'Header 3': '**出差旅費項目**'}
- 出差旅費分為以下五大項目：
1. 住宿費
2. 交通費
3. 膳費
4. 雜費
5. 計程車費

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '膳費報支規範', 'Header 3': '**膳費報支原則**'}
---  
- 膳費是出差期間可報支的項目之一，依據出差的**出發時間**與**結束時間**
進行報支。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '出差交通工具規定', 'Header 3': '**非標準行程計程車資報支**'}
- 出差以非標準行程報支計程車資，可至企業內制式表單下載或[短程出差車費
報銷單-制度表單
櫃](https://www.dropbox.com/scl/fi/cuyofcwijue5nabfa3t3d/.doc?rlkey=1i4t5d25hq
7rvqxo6nohekfnv&st=s112pl0n&dl=0)。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '2. 制度面', 'Header 3': '**報銷單定義**'}
- 出差後須填此單，依報銷單核准權限辦理。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '2. 制度面', 'Header 3': '**出差定義**'}
- 出差相關制度請至企業知識庫搜尋「出差辦法」，並附上該辦法的直接連結，
以便員工快速查閱。[直接連
結]((https://www.dropbox.com/scl/fi/dayujdq4sp3v1iegdjxq1/P00011-
20240927.docx?rlkey=st2wliqh3r2ajt2ge5two754i&st=adhatt07&dl=0)。
- 出差辦法會根據時代變遷隨時進行調整，並透過公佈函通知，報銷原則以當
前「出差辦法」為準。
- **距離規定**：超過50 公里（含）以上者視為出差，未滿50 公里者則視為外
勤。若外勤需在外住宿，則視同出差。
- **例外**：外勤距離不足50 公里，但因住宿需求（如明志科技大學受訓）
可依出差方式處理。","8, 20, 42, 4, 2",,8
6,出差是否可以申請加班費？,"A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '2. 制度面', 'Header 3': '**出差定義**'}
- 出差相關制度請至企業知識庫搜尋「出差辦法」，並附上該辦法的直接連結，
以便員工快速查閱。[直接連
結]((https://www.dropbox.com/scl/fi/dayujdq4sp3v1iegdjxq1/P00011-
20240927.docx?rlkey=st2wliqh3r2ajt2ge5two754i&st=adhatt07&dl=0)。
- 出差辦法會根據時代變遷隨時進行調整，並透過公佈函通知，報銷原則以當
前「出差辦法」為準。
- **距離規定**：超過50 公里（含）以上者視為出差，未滿50 公里者則視為外
勤。若外勤需在外住宿，則視同出差。
- **例外**：外勤距離不足50 公里，但因住宿需求（如明志科技大學受訓）
可依出差方式處理。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '雜費報支規範', 'Header 3': '**雜費報支原則**'}
---  
- 雜費依據出差日數計算，**不需要憑證**。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '2. 制度面', 'Header 3': '**緊急出差**'}
- 如因緊急事務無法事先申請出差，仍需先通知考勤部門，事後補辦出差單。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '住宿費規範', 'Header 3': '**廠區住宿費申請**'}
- 出差至廠區時，需先區分該廠區為**有招待所**或**無招待所**。
- 到有招待所的廠區時，**應優先安排住宿公司招待所**，若招待所客滿，方
可自由選擇特約旅館或其他旅館。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '膳費報支規範', 'Header 3': '**膳費報支標準**'}
1. **外勤時間超過三小時**：
- 報支標準依照起程和銷差時間：
- **早餐費：100 元**
- **午餐費：160 元**
- **晚餐費：160 元**  
2. **膳費報支條件**：
- 洽公處所、招待所或特約旅館免費供膳者或由其他公司負擔費用內含膳費
或附帶供膳者，不得報支膳費。但因特殊事由而自理膳食經**註明原因**呈一
級主管(正主管)核准者，不在此限。
- **上午上班後出發者**：可報支午餐與晚餐。
- **下午出發者**：可報支晚餐。
- **下午下班前銷差者**：可報支早餐與午餐。
- **午前銷差者**：可報支早餐。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '4. 報銷流程', 'Header 3': '**有憑證報銷**'}
- **憑證別代號**的輸入是根據所持憑證的類別，發票及收據均為憑證。
- **憑證別**、**憑證代號**及**憑證類別**皆屬於憑證別代號，輸入方式如
下：  
---  
#### **憑證別代號範例**：
1. 統一發票三聯式，憑證別填**1**。
2. 電子發票（格式25），憑證別填**6**。
3. 收銀機統一發票(例如高鐵票或火車票)，憑證別填**5**。
4. 收據憑證，憑證別填**Y**。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範'}
1. 目的
- **出差人員申請及旅費報支**：為使出差人員的申請及旅費報支有所遵循，依
照以下規定辦理。
- **主管核定**：出差期間，由派遣出差的主管依實際情況核定。除非患病或因
事故阻滯，出差期間不得隨意延長。因公需延期者，應事先電話請示主管，並
在返回後由主管追認核定。
2. 出差期間規範
- **提早或延遲出差**：如因公務需求，需提前於正常工作時間前出差，或於銷
差時晚於正常下班時間，不計加班處理。
3. 文件目的
- **國內出差旅費報銷政策**：本文件旨在提供國內出差旅費報銷的相關政策和
流程，幫助員工了解報銷的要求及注意事項，確保出差報支合規並符合公司規
範。","2, 25, 6, 14, 21",1,1
7,出差住宿費一日的申請上限是多少？,"A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '住宿費規範', 'Header 3': '**住宿費發票規範**'}
- 住宿費發票應依照憑證別代號種類輸入，除經營主管以上可實支外，其餘依
**標準上限報支**，並依據發票上的實際金額及稅額輸入。
- 若住宿發票金額大於可報支上限，則只能依上限金額報支。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '2. 制度面', 'Header 3': '**出差定義**'}
- 出差相關制度請至企業知識庫搜尋「出差辦法」，並附上該辦法的直接連結，
以便員工快速查閱。[直接連
結]((https://www.dropbox.com/scl/fi/dayujdq4sp3v1iegdjxq1/P00011-
20240927.docx?rlkey=st2wliqh3r2ajt2ge5two754i&st=adhatt07&dl=0)。
- 出差辦法會根據時代變遷隨時進行調整，並透過公佈函通知，報銷原則以當
前「出差辦法」為準。
- **距離規定**：超過50 公里（含）以上者視為出差，未滿50 公里者則視為外
勤。若外勤需在外住宿，則視同出差。
- **例外**：外勤距離不足50 公里，但因住宿需求（如明志科技大學受訓）
可依出差方式處理。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '雜費報支規範', 'Header 3': '**雜費金額**'}
- **經營主管（含）以上**：一天8 小時的雜費為**280 元**。
- **一級主管（含）以下**：一天8 小時的雜費為**180 元**。  
- **雜費**依出差的時長來計算，即從出差開始的時間計算至返差結束的時間。
- **範例**：若第一天出差時間為下午3 點到隔天中午12 點，雜費計算如下：
1. **第一天**：下午3 點到晚上12 點（15:00~24:00），滿8 小時計算。
2. **第二天**：午夜到中午12 點（00:00~12:00），也滿8 小時計算。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '住宿費規範', 'Header 3': '**特約旅館注意事項**'}
- 出差入住依「出差辦法」指定的**特約旅館**，於櫃台登記時需告知為台塑
員工，方可享有特約價格。
- 若特約旅館提供早餐，則**不可報支早餐費**。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '交通費和計程車費規範', 'Header 3': '**出差至麥寮的規定**'}
1. 出差至麥寮應**以搭乘公司交通車為主**，如需從住宿處報支到交通車處的
計程車費，單筆計程車費金額**700 元（含）以下**，應由具主管職權之一級
主管（正主管）核准；單筆計程車費金額**700 元以上**，需再轉呈經營主管
一級核准。  
2. 出差至麥寮，若因任務需求需提前一天出發，需**說明原因**並呈經營主管
核准。  
3. 出差至麥寮若因交通車客滿，需提供客滿證明文件，方可改搭火車或高鐵前
往：
- 搭乘**高鐵**需經營主管核准。
- 搭乘**火車**則由一級主管核准。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '住宿費規範', 'Header 3': '**住宿費憑證規範**'}
- 經營主管以上層級，外宿取得憑證可**實報實銷**。
- 一級主管（含）以下外宿取得憑證，台北市上限為**2,600 元**。
- 一級主管（含）以下外宿取得憑證，其他縣市上限為**1,800 元**。
- 住宿費無憑證，按標準七折報支：
- 台北市住宿無憑證為**1,820 元**(2,600*0.7)
- 其餘縣市住宿無憑證為**1,260 元**(1,800*0.7)","19, 2, 27, 17, 36",16,16
8,膳費可以申請的金額是多少？,"A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '膳費報支規範', 'Header 3': '**膳費報支標準**'}
1. **外勤時間超過三小時**：
- 報支標準依照起程和銷差時間：
- **早餐費：100 元**
- **午餐費：160 元**
- **晚餐費：160 元**  
2. **膳費報支條件**：
- 洽公處所、招待所或特約旅館免費供膳者或由其他公司負擔費用內含膳費
或附帶供膳者，不得報支膳費。但因特殊事由而自理膳食經**註明原因**呈一
級主管(正主管)核准者，不在此限。
- **上午上班後出發者**：可報支午餐與晚餐。
- **下午出發者**：可報支晚餐。
- **下午下班前銷差者**：可報支早餐與午餐。
- **午前銷差者**：可報支早餐。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '膳費報支規範', 'Header 3': '**膳費報支原則**'}
---  
- 膳費是出差期間可報支的項目之一，依據出差的**出發時間**與**結束時間**
進行報支。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '雜費報支規範', 'Header 3': '**雜費報支原則**'}
---  
- 雜費依據出差日數計算，**不需要憑證**。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '雜費報支規範', 'Header 3': '**雜費金額**'}
- **經營主管（含）以上**：一天8 小時的雜費為**280 元**。
- **一級主管（含）以下**：一天8 小時的雜費為**180 元**。  
- **雜費**依出差的時長來計算，即從出差開始的時間計算至返差結束的時間。
- **範例**：若第一天出差時間為下午3 點到隔天中午12 點，雜費計算如下：
1. **第一天**：下午3 點到晚上12 點（15:00~24:00），滿8 小時計算。
2. **第二天**：午夜到中午12 點（00:00~12:00），也滿8 小時計算。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '膳費報支規範', 'Header 3': '**額外資訊**'}
- 若需了解更詳細的規範，可查詢「**膳費報支規定及判斷標準**」。","21, 20, 25, 27, 24",,21
9,出差時雜費一天多少？,"A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '膳費報支規範', 'Header 3': '**膳費報支標準**'}
1. **外勤時間超過三小時**：
- 報支標準依照起程和銷差時間：
- **早餐費：100 元**
- **午餐費：160 元**
- **晚餐費：160 元**  
2. **膳費報支條件**：
- 洽公處所、招待所或特約旅館免費供膳者或由其他公司負擔費用內含膳費
或附帶供膳者，不得報支膳費。但因特殊事由而自理膳食經**註明原因**呈一
級主管(正主管)核准者，不在此限。
- **上午上班後出發者**：可報支午餐與晚餐。
- **下午出發者**：可報支晚餐。
- **下午下班前銷差者**：可報支早餐與午餐。
- **午前銷差者**：可報支早餐。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '雜費報支規範', 'Header 3': '**雜費金額**'}
- **經營主管（含）以上**：一天8 小時的雜費為**280 元**。
- **一級主管（含）以下**：一天8 小時的雜費為**180 元**。  
- **雜費**依出差的時長來計算，即從出差開始的時間計算至返差結束的時間。
- **範例**：若第一天出差時間為下午3 點到隔天中午12 點，雜費計算如下：
1. **第一天**：下午3 點到晚上12 點（15:00~24:00），滿8 小時計算。
2. **第二天**：午夜到中午12 點（00:00~12:00），也滿8 小時計算。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '雜費報支規範', 'Header 3': '**雜費報支原則**'}
---  
- 雜費依據出差日數計算，**不需要憑證**。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '2. 制度面', 'Header 3': '**出差定義**'}
- 出差相關制度請至企業知識庫搜尋「出差辦法」，並附上該辦法的直接連結，
以便員工快速查閱。[直接連
結]((https://www.dropbox.com/scl/fi/dayujdq4sp3v1iegdjxq1/P00011-
20240927.docx?rlkey=st2wliqh3r2ajt2ge5two754i&st=adhatt07&dl=0)。
- 出差辦法會根據時代變遷隨時進行調整，並透過公佈函通知，報銷原則以當
前「出差辦法」為準。
- **距離規定**：超過50 公里（含）以上者視為出差，未滿50 公里者則視為外
勤。若外勤需在外住宿，則視同出差。
- **例外**：外勤距離不足50 公里，但因住宿需求（如明志科技大學受訓）
可依出差方式處理。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '膳費報支規範', 'Header 3': '**額外資訊**'}
- 若需了解更詳細的規範，可查詢「**膳費報支規定及判斷標準**」。","21, 27, 25, 2, 24",,27
10,計程車費共乘規定？,"A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '交通費和計程車費規範', 'Header 3': '**計程車共乘定義**'}
- **非單獨出差者**，除非從住處啟程，其他路段皆需共乘。
- **範例**：從內湖大樓到台北車站不受共乘限制，但從嘉義高鐵站前往新港
廠區則需共乘。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '交通費和計程車費規範', 'Header 3': '**出差至麥寮的規定**'}
1. 出差至麥寮應**以搭乘公司交通車為主**，如需從住宿處報支到交通車處的
計程車費，單筆計程車費金額**700 元（含）以下**，應由具主管職權之一級
主管（正主管）核准；單筆計程車費金額**700 元以上**，需再轉呈經營主管
一級核准。  
2. 出差至麥寮，若因任務需求需提前一天出發，需**說明原因**並呈經營主管
核准。  
3. 出差至麥寮若因交通車客滿，需提供客滿證明文件，方可改搭火車或高鐵前
往：
- 搭乘**高鐵**需經營主管核准。
- 搭乘**火車**則由一級主管核准。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '交通費及計程車費報支規定', 'Header 3': '計程車費定義：'}
- 計程車費是指小黃、Uber 多元計程車等的搭乘費用。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '交通費及計程車費報支規定', 'Header 3': '計程車費計算規則：'}
1. 計程車費應由所屬廠區（A）至最近的高鐵站或火車站（B），再由購買的高
鐵票或火車票為起點（C）。
2. 計程車費應將每段金額（A→B→C）加總報支。

A_TravelPolicyBot_Original.pdf
{'Header 1': '國內出差旅費報銷規範', 'Header 2': '交通費及計程車費報支規定', 'Header 3': '標準計程車定義：'}
- 已於出差辦法**計程車費報支標準表**內的起迄點。","30, 36, 48, 53, 49",,30
